artist,count
Berry Slok,215
Sigrid Calon,132
Hans Landsaat,61
Jeroen Jas,17
Willem den Ouden,17
Ben Joosten,15
Nicolaas Wijnberg,15
Catherine van der Eerden,12
Harrie A. Gerritz,12
Tessa van der Waals,11
Ming Tung,10
Reynoud Homan,9
Miek Walda,9
Klaas Gubbels,9
Eric Nuyten,8
Jan Cremer,7
Henri Jacobs,6
N. de Bruijn,5
"Studio Dumbar, Netherlands",5
Esther Vermeer,5
Marcel Sloots,5
Michelle Valk,5
Robert Schaap,5
Joost Roozekrans,5
020 0ntwerpers,5
Ronald Noorman,5
Harry Sierman,4
Dick Letema,4
"Emnific, Londen",4
Carl Zahn,4
Tim Baumgarten,4
Victor Levie,4
Gijs Sierman,3
Henk Hoebé,3
"Uniepers Abcoude, Netherlands",3
Ton van Summeren,3
H. Veltman,2
Tom Homburg,2
"Omnific, London",2
H. Versteeg,2
Erik Andriesse,2
Sam Drukker,2
Carel Blotkamp,2
"Hans Landsaat, Netherlands",2
Dick Bruna,2
Ina van Zyl,2
Paul Damsté,2
Studio Jas,2
"Silvestri, gebr.",2
"Korsager Grafisk design, Denmark",2
"Graatsma in vorm, Nederland",2
Toon Verhoef,2
Marty Schoutsen,1
"Omnific, Londen",1
Michel van der Sanden,1
"Uniepers Abcoude, Nederland",1
Henri Ritzen,1
Anja van Benthem,1
Cees Andriessen,1
Ger Lataster,1
Ronald Tolman,1
Kees de Goede,1
Frank van den Broeck,1
Peter Lazarov,1
Ansuya Blom,1
"Korsager Grafisk design, Denemarken",1
Sameer Farooq,1
